id_cliente,fecha_corte,origen_datos,es_test,age,antiguedad,ind_nuevo,indrel,indrel_1mes,tiprel_1mes,indresi,indext,ind_actividad_cliente,renta,cod_prov,id_segmento
1375586,2015-01-28,train,0,35,6,0,1,1.0,A,S,N,1,87218.1,29,1
1050611,2015-01-28,train,0,23,35,0,1,1,I,S,S,0,35548.74,13,2
1050612,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,122179.11000000002,13,2
1050613,2015-01-28,train,0,22,35,0,1,1,I,S,N,0,119775.54,50,2
1050614,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,,50,2
1050615,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,22220.04,45,2
1050616,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,295590.36,24,2
1050617,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,113316.66,50,2
1050619,2015-01-28,train,0,24,35,0,1,1,I,S,N,0,,20,2
1050620,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,113194.98,10,2
1050621,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,72575.88,50,2
1050622,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,,17,2
1050623,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,113538.81,49,2
1050624,2015-01-28,train,0,65,35,0,1,1,A,S,N,1,61605.09,50,1
1050625,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,,49,2
1050626,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,,8,2
1050610,2015-01-28,train,0,24,35,0,1,1,I,S,N,1,68318.45999999999,37,2
1050627,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,65608.35,13,2
1050609,2015-01-28,train,0,22,35,0,1,1,I,S,N,1,73432.47,13,2
1050605,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,,45,2
1050582,2015-01-28,train,0,28,35,0,1,1,I,S,N,1,64620.56999999999,13,2
1050586,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,64194.99000000001,13,2
1050588,2015-01-28,train,0,22,35,0,1,1,I,S,N,1,,9,2
1050589,2015-01-28,train,0,23,35,0,1,1,I,S,N,0,119173.88999999998,22,2
1050591,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,58728.39,13,2
1050592,2015-01-28,train,0,22,35,0,1,1,I,S,N,0,,31,2
1050595,2015-01-28,train,0,25,35,0,1,1,A,S,N,1,86863.38,5,2
1050596,2015-01-28,train,0,25,35,0,1,1,A,S,S,1,68421.36,50,2
1050597,2015-01-28,train,0,23,35,0,1,1,A,S,N,0,,45,2
1050598,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,90408.75,45,2
1050599,2015-01-28,train,0,24,35,0,1,1,I,S,N,0,74780.37,49,2
1050601,2015-01-28,train,0,26,35,0,1,1,I,S,N,0,120146.49,45,2
1050602,2015-01-28,train,0,23,35,0,1,1,A,S,N,1,91282.71,37,2
1050603,2015-01-28,train,0,23,35,0,1,1,I,S,N,1,131351.94,50,2
1050604,2015-01-28,train,0,53,35,0,1,1,A,S,N,0,113279.1,37,1
