id_cliente,ind_empleado,pais_residencia,sexo,fecha_alta,conyuemp,canal_entrada,indfall,aparece_en_train,aparece_en_test
15889,F,ES,V,1995-01-16,N,KAT,N,0,1
1050088,N,ES,H,2012-08-10,,KHD,N,1,0
1050091,N,ES,H,2012-08-10,,KFA,N,1,0
1050094,N,ES,V,2012-08-10,,KHE,N,1,0
1050095,N,ES,H,2012-08-10,,KHE,N,1,0
1050096,N,ES,V,2012-08-10,,KHD,N,1,0
1050098,N,ES,V,2012-08-10,,KHD,N,1,0
1050102,N,ES,V,2012-08-10,,KHE,N,1,0
1050103,N,ES,V,2012-08-10,,KHE,N,1,0
1050104,N,ES,H,2012-08-10,,KHE,N,1,0
1050107,N,ES,H,2012-08-10,,KHD,N,1,0
1050109,N,ES,H,2012-08-10,,KHE,N,1,0
1050110,N,ES,H,2012-08-10,,KHE,N,1,0
1050111,N,ES,H,2012-08-10,,KHD,N,1,0
1050113,N,ES,H,2012-08-10,,KHE,N,1,0
1050114,N,ES,V,2012-08-10,,KHD,N,1,0
1050116,N,ES,H,2012-08-10,,KHE,N,1,0
1050117,N,ES,V,2012-08-10,,KHE,N,1,0
1050120,N,ES,H,2012-08-10,,KHE,N,1,0
1050124,N,ES,H,2012-08-10,,KHE,N,1,0
1050125,N,ES,V,2012-08-10,,KHE,N,1,0
1050130,N,ES,H,2012-08-10,,KHE,N,1,0
1050132,N,ES,V,2012-08-10,,KHD,N,1,0
1050134,N,ES,V,2012-08-10,,KHE,N,1,0
1050135,N,ES,H,2012-08-10,,KHD,N,1,0
1050137,N,ES,V,2012-08-10,,KHE,N,1,0
1050138,N,ES,V,2012-08-10,,KHE,N,1,0
1050141,N,ES,V,2012-08-10,,KHD,N,1,0
1050143,N,ES,H,2012-08-10,,KHE,N,1,0
1050144,N,ES,H,2012-08-10,,KHD,N,1,0
1050146,N,ES,H,2012-08-10,,KFA,N,1,0
1050148,N,ES,H,2012-08-10,,KHE,N,1,0
1050149,N,ES,H,2012-08-10,,KHE,N,1,0
1050150,N,ES,H,2012-08-10,,KHE,N,1,0
1050153,N,ES,V,2012-08-10,,KHE,N,1,0
1050154,N,ES,V,2012-08-10,,KHE,N,1,0
1050155,N,ES,V,2012-08-10,,KHE,N,1,0
1050156,N,ES,H,2012-08-10,,KHE,N,1,0
1050157,N,ES,V,2012-08-10,,KHE,N,1,0
1050158,N,ES,H,2012-08-10,,KHE,N,1,0
1050159,N,ES,H,2012-08-10,,KHE,N,1,0
1050160,N,ES,V,2012-08-10,,KHE,N,1,0
1050161,N,ES,H,2012-08-10,,KHE,N,1,0
