cod_prov,nombre_provincia
29,MALAGA
13,CIUDAD REAL
50,ZARAGOZA
45,TOLEDO
24,LEON
20,GIPUZKOA
10,CACERES
17,GIRONA
49,ZAMORA
8,BARCELONA
37,SALAMANCA
9,BURGOS
22,HUESCA
31,NAVARRA
5,AVILA
40,SEGOVIA
27,LUGO
25,LERIDA
28,MADRID
3,ALICANTE
42,SORIA
41,SEVILLA
39,CANTABRIA
7,"BALEARS, ILLES"
47,VALLADOLID
36,PONTEVEDRA
46,VALENCIA
44,TERUEL
15,"CORUÑA, A"
32,OURENSE
23,JAEN
16,CUENCA
48,BIZKAIA
12,CASTELLON
26,"RIOJA, LA"
2,ALBACETE
6,BADAJOZ
30,MURCIA
11,CADIZ
NA,
4,ALMERIA
19,GUADALAJARA
34,PALENCIA
35,"PALMAS, LAS"
14,CORDOBA
21,HUELVA
18,GRANADA
33,ASTURIAS
38,SANTA CRUZ DE TENERIFE
52,MELILLA
43,TARRAGONA
1,ALAVA
